1652555854.097631 server started (38793): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1652555854.098194 input_key_build: 0x40000010e0a4 (S-F12) is \033[24;2~
1652555854.098199 input_key_build: 0x40000010e0a5 (S-IC) is \033[2;2~
1652555854.098202 input_key_build: 0x40000010e0a6 (S-DC) is \033[3;2~
1652555854.098207 input_key_build: 0x40000010e0a7 (S-Home) is \033[1;2H
1652555854.098211 input_key_build: 0x40000010e0a8 (S-End) is \033[1;2F
1652555854.098215 input_key_build: 0x40000010e0a9 (S-NPage) is \033[6;2~
1652555854.098218 input_key_build: 0x40000010e0aa (S-PPage) is \033[5;2~
1652555854.098222 input_key_build: 0x40000010e0ac (S-Up) is \033[1;2A
1652555854.098226 input_key_build: 0x40000010e0ad (S-Down) is \033[1;2B
1652555854.098230 input_key_build: 0x40000010e0ae (S-Left) is \033[1;2D
1652555854.098234 input_key_build: 0x40000010e0af (S-Right) is \033[1;2C
1652555854.098238 input_key_build: 0x60000010e099 (C-S-F1) is \033[1;6P
1652555854.098242 input_key_build: 0x60000010e09a (C-S-F2) is \033[1;6Q
1652555854.098246 input_key_build: 0x60000010e09b (C-S-F3) is \033[1;6R
1652555854.098250 input_key_build: 0x60000010e09c (C-S-F4) is \033[1;6S
1652555854.098254 input_key_build: 0x60000010e09d (C-S-F5) is \033[15;6~
1652555854.098258 input_key_build: 0x60000010e09e (C-S-F6) is \033[17;6~
1652555854.098262 input_key_build: 0x60000010e09f (C-S-F7) is \033[18;6~
1652555854.098266 input_key_build: 0x60000010e0a0 (C-S-F8) is \033[19;6~
1652555854.098270 input_key_build: 0x60000010e0a1 (C-S-F9) is \033[20;6~
1652555854.098274 input_key_build: 0x60000010e0a2 (C-S-F10) is \033[21;6~
1652555854.098278 input_key_build: 0x60000010e0a3 (C-S-F11) is \033[23;6~
1652555854.098282 input_key_build: 0x60000010e0a4 (C-S-F12) is \033[24;6~
1652555854.098286 input_key_build: 0x60000010e0a5 (C-S-IC) is \033[2;6~
1652555854.098290 input_key_build: 0x60000010e0a6 (C-S-DC) is \033[3;6~
1652555854.098294 input_key_build: 0x60000010e0a7 (C-S-Home) is \033[1;6H
1652555854.098298 input_key_build: 0x60000010e0a8 (C-S-End) is \033[1;6F
1652555854.098302 input_key_build: 0x60000010e0a9 (C-S-NPage) is \033[6;6~
1652555854.098306 input_key_build: 0x60000010e0aa (C-S-PPage) is \033[5;6~
1652555854.098310 input_key_build: 0x60000010e0ac (C-S-Up) is \033[1;6A
1652555854.098314 input_key_build: 0x60000010e0ad (C-S-Down) is \033[1;6B
1652555854.098319 input_key_build: 0x60000010e0ae (C-S-Left) is \033[1;6D
1652555854.098323 input_key_build: 0x60000010e0af (C-S-Right) is \033[1;6C
1652555854.098328 input_key_build: 0x200000010e0b0 (KP/[K]) is \033Oo
1652555854.098332 input_key_build: 0x200000010e0b1 (KP*[K]) is \033Oj
1652555854.098336 input_key_build: 0x200000010e0b2 (KP-[K]) is \033Om
1652555854.098340 input_key_build: 0x200000010e0b3 (KP7[K]) is \033Ow
1652555854.098344 input_key_build: 0x200000010e0b4 (KP8[K]) is \033Ox
1652555854.098348 input_key_build: 0x200000010e0b5 (KP9[K]) is \033Oy
1652555854.098352 input_key_build: 0x200000010e0b6 (KP+[K]) is \033Ok
1652555854.098356 input_key_build: 0x200000010e0b7 (KP4[K]) is \033Ot
1652555854.098360 input_key_build: 0x200000010e0b8 (KP5[K]) is \033Ou
1652555854.098364 input_key_build: 0x200000010e0b9 (KP6[K]) is \033Ov
1652555854.098378 input_key_build: 0x200000010e0ba (KP1[K]) is \033Oq
1652555854.098382 input_key_build: 0x200000010e0bb (KP2[K]) is \033Or
1652555854.098386 input_key_build: 0x200000010e0bc (KP3[K]) is \033Os
1652555854.098390 input_key_build: 0x200000010e0bd (KPEnter[K]) is \033OM
1652555854.098394 input_key_build: 0x200000010e0be (KP0[K]) is \033Op
1652555854.098397 input_key_build: 0x200000010e0bf (KP.[K]) is \033On
1652555854.098401 input_key_build: 0x400000010e0ac (Up[C]) is \033OA
1652555854.098406 input_key_build: 0x400000010e0ad (Down[C]) is \033OB
1652555854.098409 input_key_build: 0x400000010e0ae (Left[C]) is \033OD
1652555854.098413 input_key_build: 0x400000010e0af (Right[C]) is \033OC
1652555854.098417 input_key_build: 0x810000010e099 (M-F1[I]) is \033[1;3P
1652555854.098421 input_key_build: 0x810000010e09a (M-F2[I]) is \033[1;3Q
1652555854.098425 input_key_build: 0x810000010e09b (M-F3[I]) is \033[1;3R
1652555854.098429 input_key_build: 0x810000010e09c (M-F4[I]) is \033[1;3S
1652555854.098433 input_key_build: 0x810000010e09d (M-F5[I]) is \033[15;3~
1652555854.098437 input_key_build: 0x810000010e09e (M-F6[I]) is \033[17;3~
1652555854.098441 input_key_build: 0x810000010e09f (M-F7[I]) is \033[18;3~
1652555854.098445 input_key_build: 0x810000010e0a0 (M-F8[I]) is \033[19;3~
1652555854.098449 input_key_build: 0x810000010e0a1 (M-F9[I]) is \033[20;3~
1652555854.098453 input_key_build: 0x810000010e0a2 (M-F10[I]) is \033[21;3~
1652555854.098457 input_key_build: 0x810000010e0a3 (M-F11[I]) is \033[23;3~
1652555854.098461 input_key_build: 0x810000010e0a4 (M-F12[I]) is \033[24;3~
1652555854.098465 input_key_build: 0x810000010e0a5 (M-IC[I]) is \033[2;3~
1652555854.098469 input_key_build: 0x810000010e0a6 (M-DC[I]) is \033[3;3~
1652555854.098473 input_key_build: 0x810000010e0a7 (M-Home[I]) is \033[1;3H
1652555854.098477 input_key_build: 0x810000010e0a8 (M-End[I]) is \033[1;3F
1652555854.098481 input_key_build: 0x810000010e0a9 (M-NPage[I]) is \033[6;3~
1652555854.098485 input_key_build: 0x810000010e0aa (M-PPage[I]) is \033[5;3~
1652555854.098489 input_key_build: 0x810000010e0ac (M-Up[I]) is \033[1;3A
1652555854.098493 input_key_build: 0x810000010e0ad (M-Down[I]) is \033[1;3B
1652555854.098497 input_key_build: 0x810000010e0ae (M-Left[I]) is \033[1;3D
1652555854.098501 input_key_build: 0x810000010e0af (M-Right[I]) is \033[1;3C
1652555854.098505 input_key_build: 0x830000010e099 (C-M-F1[I]) is \033[1;7P
1652555854.098509 input_key_build: 0x830000010e09a (C-M-F2[I]) is \033[1;7Q
1652555854.098513 input_key_build: 0x830000010e09b (C-M-F3[I]) is \033[1;7R
1652555854.098516 input_key_build: 0x830000010e09c (C-M-F4[I]) is \033[1;7S
1652555854.098520 input_key_build: 0x830000010e09d (C-M-F5[I]) is \033[15;7~
1652555854.098524 input_key_build: 0x830000010e09e (C-M-F6[I]) is \033[17;7~
1652555854.098528 input_key_build: 0x830000010e09f (C-M-F7[I]) is \033[18;7~
1652555854.098533 input_key_build: 0x830000010e0a0 (C-M-F8[I]) is \033[19;7~
1652555854.098537 input_key_build: 0x830000010e0a1 (C-M-F9[I]) is \033[20;7~
1652555854.098541 input_key_build: 0x830000010e0a2 (C-M-F10[I]) is \033[21;7~
1652555854.098545 input_key_build: 0x830000010e0a3 (C-M-F11[I]) is \033[23;7~
1652555854.098550 input_key_build: 0x830000010e0a4 (C-M-F12[I]) is \033[24;7~
1652555854.098554 input_key_build: 0x830000010e0a5 (C-M-IC[I]) is \033[2;7~
1652555854.098558 input_key_build: 0x830000010e0a6 (C-M-DC[I]) is \033[3;7~
1652555854.098562 input_key_build: 0x830000010e0a7 (C-M-Home[I]) is \033[1;7H
1652555854.098566 input_key_build: 0x830000010e0a8 (C-M-End[I]) is \033[1;7F
1652555854.098570 input_key_build: 0x830000010e0a9 (C-M-NPage[I]) is \033[6;7~
1652555854.098574 input_key_build: 0x830000010e0aa (C-M-PPage[I]) is \033[5;7~
1652555854.098578 input_key_build: 0x830000010e0ac (C-M-Up[I]) is \033[1;7A
1652555854.098582 input_key_build: 0x830000010e0ad (C-M-Down[I]) is \033[1;7B
1652555854.098586 input_key_build: 0x830000010e0ae (C-M-Left[I]) is \033[1;7D
1652555854.098590 input_key_build: 0x830000010e0af (C-M-Right[I]) is \033[1;7C
